datetime,Aqara_room,Aqara_supply,Aqara_return,Sonoff,Shelly_supply,Shelly_return,Shelly_window,Aqara_thermostat,Setpoint
2025-03-09 00:00:00,21.27463715020833,29.81083312901111,22.61496156064445,20.79539449363889,34.174291382140275,22.939999999999998,18.419999999999998,,23.0
2025-03-09 00:15:00,21.26648616526875,29.868528468169444,22.615753820272225,20.77154587022917,34.3125,22.939999999999998,18.4,,23.0
2025-03-09 00:30:00,21.258335180329166,29.92622380732778,22.616546079900004,20.747697246819445,34.31333333333333,22.951999999999998,18.38,,23.0
2025-03-09 00:45:00,21.250184195389583,29.983919146486112,22.61733833952778,20.723848623409722,34.62375,22.976,18.365555555555556,,23.0
2025-03-09 01:00:00,21.24203321045,30.041614485644445,22.618130599155556,20.7,34.58067897392458,23.0,18.35111111111111,,23.0
2025-03-09 01:15:00,21.23216817342083,30.08423471643125,22.61621917432153,20.7,34.53125,23.024,18.336666666666666,,23.0
2025-03-09 01:30:00,21.222303136391666,30.126854947218057,22.6143077494875,20.7,34.39666666666667,23.048,18.322222222222223,,23.0
2025-03-09 01:45:00,21.212438099362497,30.169475178004863,22.61239632465347,20.7,34.625,23.072,18.307777777777776,,23.0
2025-03-09 02:00:00,21.20257306233333,30.21209540879167,22.610484899819443,20.7,35.59903369550911,23.096,18.293333333333333,,23.0
2025-03-09 02:15:00,21.19278305389375,30.17596326785417,22.617103777423612,20.698837997916666,36.013703703703705,23.12,18.314999999999998,,23.0
2025-03-09 02:30:00,21.182993045454165,30.13983112691667,22.62372265502778,20.697675995833333,34.64555555555555,23.0,18.290625,,23.0
2025-03-09 02:45:00,21.17320303701458,30.103698985979168,22.63034153263195,20.69651399375,34.875,23.060000000000002,18.26625,,23.0
2025-03-09 03:00:00,21.163413028575,30.067566845041668,22.636960410236117,20.695351991666666,35.00971852133028,23.12,18.241875,,23.0
2025-03-09 03:15:00,21.165059771431252,30.128783422520833,22.64,20.663567994444445,34.68666666666667,23.0,18.2175,,23.0
